goals,assists,shots_ontarget,shots_offtarget,chances2score,keypasses,passes_acc,passes_inacc,crosses_acc,crosses_inacc,lballs_acc,lballs_inacc,tballs_acc,tballs_inacc,drib_success,drib_unsuccess,touches,poss_lost,tackles,interceptions,clearances,stop_shots,dribbled_past,aerials_w,aerials_l,grduels_w,grduels_l,fouls,wasfouled,ycards,rcards,dangmistakes,saves_itb,saves_otb,saved_pen,goals_ag_itb,goals_ag_otb,shotsblocked,countattack,offsides,missed_penalties,owngoals,minutesPlayed,game_duration,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,GMM_Cluster,GMM_Max_Probability
0,0,0,0,0,0,37,4,0,0,3,1,0,0,0,0,55,10,0,5,5,0,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,3,0.9999999986420249
0,0,0,0,0,0,37,4,0,0,3,1,0,0,0,0,55,10,0,5,5,0,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,3,0.9999999986420249
0,0,0,0,0,0,37,4,0,0,3,1,0,0,0,0,55,10,0,5,5,0,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,3,0.9999999986420249
0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,1,0,2,0.9999997168986684
0,0,0,0,0,0,20,4,1,2,1,3,0,0,0,0,44,9,1,1,2,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,90,90,0,0,0,0,0.9999999991542126
0,0,0,0,0,0,20,4,1,2,1,3,0,0,0,0,44,9,1,1,2,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,90,90,0,0,0,0,0.9999999991542126
0,0,0,0,0,0,20,4,1,2,1,3,0,0,0,0,44,9,1,1,2,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,90,90,0,0,0,0,0.9999999991542126
0,0,0,0,0,0,20,4,1,2,1,3,0,0,0,0,44,9,1,1,2,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,90,90,0,0,0,0,0.9999999991542126
0,0,0,0,0,0,19,3,0,0,1,2,0,0,1,0,29,6,2,3,1,0,2,1,1,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,90,0,0,0,0,0.99999999999838
0,0,0,0,0,0,19,3,0,0,1,2,0,0,1,0,29,6,2,3,1,0,2,1,1,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,90,0,0,0,0,0.99999999999838
0,0,0,0,0,0,34,4,0,0,1,2,0,0,0,0,42,6,1,1,1,0,0,1,1,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,90,0,0,0,0,0.9999999997800444
0,0,0,0,0,0,34,4,0,0,1,2,0,0,0,0,42,6,1,1,1,0,0,1,1,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,90,0,0,0,0,0.9999999997800444
0,0,0,0,0,0,34,4,0,0,1,2,0,0,0,0,42,6,1,1,1,0,0,1,1,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,90,0,0,0,0,0.9999999997800444
0,0,0,0,0,0,43,5,1,0,3,1,0,0,0,0,57,8,1,4,1,0,2,0,2,3,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,0,0.9999999999623697
0,0,0,0,0,0,43,5,1,0,3,1,0,0,0,0,57,8,1,4,1,0,2,0,2,3,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,0,0.9999999999623697
